CountryID,Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
231,Ethiopia,Gross fixed capital formation (including Acquisitions less disposals of valuables),,,,,,,,,,,,,,,,,,,,,"1,180,392,347","1,121,886,643","793,256,982","905,503,427","913,939,911","1,051,937,986","1,327,064,915","1,222,165,093","1,788,974,630","1,757,774,199","1,782,495,031","1,876,462,423","2,030,287,999","2,054,610,538","2,883,650,014","3,162,659,031","4,133,071,363","4,598,174,204","6,266,418,628","7,009,917,326","7,106,586,750","9,533,388,825","14,697,097,263","15,551,684,050","19,965,729,016","24,709,144,057","25,914,997,871","29,131,907,188","27,054,241,532","31,708,793,849","29,241,558,423","23,428,503,913"
231,Ethiopia,Changes in inventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"252,858,330","962,193,143","310,360,118","606,425,689","154,624,259","1,034,993,034","390,967,031","347,982,954","932,216,135","304,578,421","4,389,464,464"
231,Ethiopia,Exports of goods and services,,,,,,,,,,,,,,,,,,,,,"627,333,715","514,416,843","335,351,918","445,601,767","591,214,774","789,877,223","783,100,269","1,005,654,988","1,002,621,122","859,906,702","974,748,471","963,182,977","979,136,880","1,137,134,895","1,495,440,378","1,855,086,622","2,092,861,709","2,437,443,885","2,949,766,877","2,991,526,370","3,620,366,762","5,086,019,988","5,811,261,604","5,810,340,989","6,305,386,621","5,906,249,372","5,637,001,035","5,858,936,897","6,715,753,536","7,349,392,410","6,886,472,393","7,537,296,692"
231,Ethiopia,Imports of goods and services,,,,,,,,,,,,,,,,,,,,,"1,092,383,474","1,271,533,919","870,732,744","992,268,868","1,223,138,616","1,453,094,235","1,679,369,303","1,582,172,261","1,598,392,709","1,777,871,762","1,941,374,039","1,904,625,229","2,066,703,627","2,340,900,149","3,169,096,857","4,358,882,394","5,528,695,705","6,144,134,197","7,975,631,289","8,175,265,137","8,766,314,773","9,615,055,880","13,351,493,135","13,491,491,164","15,760,983,081","19,108,319,489","19,545,313,612","18,026,946,994","18,309,377,728","19,322,594,794","16,308,814,123","16,540,790,735"
231,Ethiopia,Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,"11,207,790,791","12,786,205,579","10,229,798,768","7,382,766,730","7,147,530,061","7,586,836,819","8,235,652,824","8,521,562,903","7,726,621,812","7,328,478,793","8,030,202,592","7,963,475,849","7,691,050,743","8,454,148,505","9,935,634,535","12,163,585,016","14,983,303,378","18,991,964,042","25,608,605,787","28,194,199,942","26,311,297,202","30,479,443,693","42,210,509,593","46,542,023,357","54,163,248,202","63,078,657,756","72,157,653,326","76,794,686,090","80,210,324,516","92,561,855,537","96,611,046,472","99,268,512,532"
231,Ethiopia,"Agriculture, hunting, forestry, fishing (ISIC A-B)",,,,,,,,,,,,,,,,,,,,,"5,546,875,539","7,501,163,333","6,529,817,254","4,425,621,532","3,766,709,115","3,939,442,555","4,213,802,110","4,503,945,332","3,722,964,253","3,324,422,254","3,663,641,810","3,455,052,598","3,030,317,178","3,209,653,069","3,913,458,848","5,100,132,407","6,488,273,661","8,173,924,682","11,782,817,072","13,172,887,882","11,105,035,059","12,572,743,096","18,712,305,347","19,193,681,520","20,863,619,454","22,744,298,978","25,036,509,549","25,940,635,924","25,040,712,820","31,131,640,279","34,357,257,896","37,298,985,183"
231,Ethiopia,"Mining, Manufacturing, Utilities (ISIC C-E)",,,,,,,,,,,,,,,,,,,,,"724,359,006","615,324,455","438,254,997","393,218,629","414,717,677","502,215,979","577,994,445","606,156,345","589,748,646","605,857,912","647,599,313","667,441,342","658,282,513","718,631,112","789,639,766","869,907,200","1,026,830,035","1,279,284,404","1,493,998,536","1,496,994,336","1,494,352,045","1,815,473,705","2,318,381,430","2,637,990,487","3,024,656,015","3,464,740,440","4,895,138,947","5,530,729,975","5,387,685,494","5,938,319,043","6,082,447,373","5,978,396,673"
231,Ethiopia,Manufacturing (ISIC D),,,,,,,,,,,,,,,,,,,,,"518,380,457","411,845,203","318,505,724","291,340,659","305,458,133","370,702,857","429,272,313","435,746,362","385,853,989","406,299,652","447,087,452","456,152,833","437,804,558","480,947,942","522,026,113","577,745,768","680,223,166","850,997,385","1,030,444,396","1,072,459,614","1,025,567,015","1,122,418,285","1,443,622,958","1,723,076,144","2,161,799,571","2,778,379,756","4,106,778,628","4,750,960,845","4,674,352,520","5,178,269,507","5,124,157,931","4,571,616,269"
231,Ethiopia,Construction (ISIC F),,,,,,,,,,,,,,,,,,,,,"318,398,926","315,141,214","185,150,539","157,142,011","170,197,414","202,313,026","227,756,391","273,457,330","302,154,239","301,506,275","306,216,534","319,494,879","356,336,261","409,084,831","510,330,319","605,784,958","757,936,679","984,725,545","1,190,761,210","1,300,095,132","1,049,995,191","1,130,252,964","1,681,542,008","2,455,828,164","4,271,743,463","6,815,718,077","10,930,883,000","12,578,881,330","16,514,316,806","17,037,745,423","16,239,537,146","15,714,098,271"
231,Ethiopia,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",,,,,,,,,,,,,,,,,,,,,"1,564,889,660","1,460,882,542","1,056,693,666","813,160,679","933,618,505","967,558,313","1,040,211,846","1,088,723,367","1,040,874,534","1,006,486,392","1,112,298,487","1,081,982,870","1,042,630,796","1,216,323,857","1,377,208,643","1,652,119,815","2,175,978,381","2,946,480,853","3,985,732,255","4,973,678,986","4,742,050,323","5,203,605,257","7,140,847,442","7,810,216,241","9,763,099,896","11,737,511,557","11,220,683,985","11,313,029,243","11,872,177,053","14,697,512,019","14,997,212,470","14,874,097,761"
